"","PCSS1 (9)","PCSS2 (8)","PCSS3 (6)","PCSS4 (6)"
"GSE13294_eset.PC1",1,0,0,0
"GSE13294_eset.PC2",0,1,0,0
"GSE13294_eset.PC3",0,0,1,0
"GSE13294_eset.PC4",0,0,0,1
"GSE13294_eset.PC5",0,0,0,0
"GSE13294_eset.PC6",0,0,0,0
"GSE13294_eset.PC7",0,0,0,0
"GSE13294_eset.PC8",0,0,0,0
"GSE13294_eset.PC9",0,0,0,0
"GSE13294_eset.PC10",0,0,0,0
"GSE13294_eset.PC11",0,0,0,0
"GSE13294_eset.PC12",0,0,0,0
"GSE13294_eset.PC13",0,0,0,0
"GSE13294_eset.PC14",0,0,0,0
"GSE13294_eset.PC15",0,0,0,0
"GSE13294_eset.PC16",0,0,0,0
"GSE13294_eset.PC17",0,0,0,0
"GSE13294_eset.PC18",0,0,0,0
"GSE13294_eset.PC19",0,0,0,0
"GSE13294_eset.PC20",0,0,0,0
"GSE14095_eset.PC1",0,0,0,0
"GSE14095_eset.PC2",1,0,0,0
"GSE14095_eset.PC3",0,1,0,0
"GSE14095_eset.PC4",0,0,0,1
"GSE14095_eset.PC5",0,0,1,0
"GSE14095_eset.PC6",0,0,0,0
"GSE14095_eset.PC7",0,0,0,0
"GSE14095_eset.PC8",0,0,0,0
"GSE14095_eset.PC9",0,0,0,0
"GSE14095_eset.PC10",0,0,0,0
"GSE14095_eset.PC11",0,0,0,0
"GSE14095_eset.PC12",0,0,0,0
"GSE14095_eset.PC13",0,0,0,0
"GSE14095_eset.PC14",0,0,0,0
"GSE14095_eset.PC15",0,0,0,0
"GSE14095_eset.PC16",0,0,0,0
"GSE14095_eset.PC17",0,0,0,0
"GSE14095_eset.PC18",0,0,0,0
"GSE14095_eset.PC19",0,0,0,0
"GSE14095_eset.PC20",0,0,0,0
"GSE14333_eset.PC1",1,0,0,0
"GSE14333_eset.PC2",0,1,0,0
"GSE14333_eset.PC3",0,1,0,0
"GSE14333_eset.PC4",0,0,1,0
"GSE14333_eset.PC5",0,0,0,0
"GSE14333_eset.PC6",0,0,0,0
"GSE14333_eset.PC7",0,0,0,0
"GSE14333_eset.PC8",0,0,0,0
"GSE14333_eset.PC9",0,0,0,0
"GSE14333_eset.PC10",0,0,0,0
"GSE14333_eset.PC11",0,0,0,0
"GSE14333_eset.PC12",0,0,0,0
"GSE14333_eset.PC13",0,0,0,0
"GSE14333_eset.PC14",0,0,0,0
"GSE14333_eset.PC15",0,0,0,0
"GSE14333_eset.PC16",0,0,0,0
"GSE14333_eset.PC17",0,0,0,0
"GSE14333_eset.PC18",0,0,0,0
"GSE14333_eset.PC19",0,0,0,0
"GSE14333_eset.PC20",0,0,0,0
"GSE17536_eset.PC1",1,0,0,0
"GSE17536_eset.PC2",0,1,0,0
"GSE17536_eset.PC3",0,0,0,1
"GSE17536_eset.PC4",0,0,1,0
"GSE17536_eset.PC5",0,0,0,0
"GSE17536_eset.PC6",0,0,0,0
"GSE17536_eset.PC7",0,0,0,0
"GSE17536_eset.PC8",0,0,0,0
"GSE17536_eset.PC9",0,0,0,0
"GSE17536_eset.PC10",0,0,0,0
"GSE17536_eset.PC11",0,0,0,0
"GSE17536_eset.PC12",0,0,0,0
"GSE17536_eset.PC13",0,0,0,0
"GSE17536_eset.PC14",0,0,0,0
"GSE17536_eset.PC15",0,0,0,0
"GSE17536_eset.PC16",0,0,0,0
"GSE17536_eset.PC17",0,0,0,0
"GSE17536_eset.PC18",0,0,0,0
"GSE17536_eset.PC19",0,0,0,0
"GSE17536_eset.PC20",0,0,0,0
"GSE21815_eset.PC1",0,0,0,1
"GSE21815_eset.PC2",1,0,0,0
"GSE21815_eset.PC3",0,0,0,0
"GSE21815_eset.PC4",0,1,0,0
"GSE21815_eset.PC5",0,0,0,0
"GSE21815_eset.PC6",0,0,0,0
"GSE21815_eset.PC7",0,0,0,0
"GSE21815_eset.PC8",0,0,0,0
"GSE21815_eset.PC9",0,0,0,0
"GSE21815_eset.PC10",0,0,0,0
"GSE21815_eset.PC11",0,0,0,0
"GSE21815_eset.PC12",0,0,0,0
"GSE21815_eset.PC13",0,0,0,0
"GSE21815_eset.PC14",0,0,0,0
"GSE21815_eset.PC15",0,0,0,0
"GSE21815_eset.PC16",0,0,0,0
"GSE21815_eset.PC17",0,0,0,0
"GSE21815_eset.PC18",0,0,0,0
"GSE21815_eset.PC19",0,0,0,0
"GSE21815_eset.PC20",0,0,0,0
"GSE26682.GPL570_eset.PC1",1,0,0,0
"GSE26682.GPL570_eset.PC2",1,0,0,0
"GSE26682.GPL570_eset.PC3",0,0,0,1
"GSE26682.GPL570_eset.PC4",0,0,0,0
"GSE26682.GPL570_eset.PC5",0,0,0,0
"GSE26682.GPL570_eset.PC6",0,0,1,0
"GSE26682.GPL570_eset.PC7",0,0,0,0
"GSE26682.GPL570_eset.PC8",0,0,0,0
"GSE26682.GPL570_eset.PC9",0,0,0,0
"GSE26682.GPL570_eset.PC10",0,0,0,0
"GSE26682.GPL570_eset.PC11",0,0,0,0
"GSE26682.GPL570_eset.PC12",0,0,0,0
"GSE26682.GPL570_eset.PC13",0,0,0,0
"GSE26682.GPL570_eset.PC14",0,0,0,0
"GSE26682.GPL570_eset.PC15",0,0,0,0
"GSE26682.GPL570_eset.PC16",0,0,0,0
"GSE26682.GPL570_eset.PC17",0,0,0,0
"GSE26682.GPL570_eset.PC18",0,0,0,0
"GSE26682.GPL570_eset.PC19",0,0,0,0
"GSE26682.GPL570_eset.PC20",0,0,0,0
"GSE26682.GPL96_eset.PC1",1,0,0,0
"GSE26682.GPL96_eset.PC2",0,1,0,0
"GSE26682.GPL96_eset.PC3",0,0,0,1
"GSE26682.GPL96_eset.PC4",0,0,1,0
"GSE26682.GPL96_eset.PC5",0,0,0,0
"GSE26682.GPL96_eset.PC6",0,0,0,0
"GSE26682.GPL96_eset.PC7",0,0,0,0
"GSE26682.GPL96_eset.PC8",0,0,0,0
"GSE26682.GPL96_eset.PC9",0,0,0,0
"GSE26682.GPL96_eset.PC10",0,0,0,0
"GSE26682.GPL96_eset.PC11",0,0,0,0
"GSE26682.GPL96_eset.PC12",0,0,0,0
"GSE26682.GPL96_eset.PC13",0,0,0,0
"GSE26682.GPL96_eset.PC14",0,0,0,0
"GSE26682.GPL96_eset.PC15",0,0,0,0
"GSE26682.GPL96_eset.PC16",0,0,0,0
"GSE26682.GPL96_eset.PC17",0,0,0,0
"GSE26682.GPL96_eset.PC18",0,0,0,0
"GSE26682.GPL96_eset.PC19",0,0,0,0
"GSE26682.GPL96_eset.PC20",0,0,0,0
"NHS.HPFS_eset.PC1",0,0,0,0
"NHS.HPFS_eset.PC2",0,0,0,0
"NHS.HPFS_eset.PC3",0,0,0,0
"NHS.HPFS_eset.PC4",0,0,0,0
"NHS.HPFS_eset.PC5",0,0,0,0
"NHS.HPFS_eset.PC6",0,0,0,0
"NHS.HPFS_eset.PC7",1,0,0,0
"NHS.HPFS_eset.PC8",0,1,0,0
"NHS.HPFS_eset.PC9",0,0,0,0
"NHS.HPFS_eset.PC10",0,0,0,0
"NHS.HPFS_eset.PC11",0,0,0,0
"NHS.HPFS_eset.PC12",0,0,0,0
"NHS.HPFS_eset.PC13",0,0,0,0
"NHS.HPFS_eset.PC14",0,0,0,0
"NHS.HPFS_eset.PC15",0,0,0,0
"NHS.HPFS_eset.PC16",0,0,0,0
"NHS.HPFS_eset.PC17",0,0,0,0
"NHS.HPFS_eset.PC18",0,0,0,0
"NHS.HPFS_eset.PC19",0,0,0,0
"NHS.HPFS_eset.PC20",0,0,0,0
